8*10mm Tilak Glass Vilandi	49
6*9mm Tilak Glass Vilandi	10
9*11mm Tilak Glass Vilandi	8
5*6mm Tilak Glass Vilandi	6
2.5*3.5mm Tilak Glass Vilandi	10
2.5*3mm Tilak Glass Vilandi	8
4*5mm Tilak Glass Vilandi	111
8*10mm Tilak Foil Glass Vilandi	59
10*15mm Tilak Foil Glass Vilandi	98
12*16mm Tilak Foil Glass Vilandi	32
6*7mm Heart Glass Vilandi	687
8.5*8.5mm Heart Glass Vilandi	218
8*10mm Oval Glass Vilandi	10
7*9mm Oval Glass Vilandi	10
6*8mm Oval Glass Vilandi	10
5*7mm Oval Glass Vilandi	108
4*6mm Oval Glass Vilandi	565
3*5mm Oval Glass Vilandi	94
3*4mm Oval Glass Vilandi	110
2*3mm Oval Glass Vilandi	1008
4*5mm Oval Glass Vilandi	497
2.5*3mm Oval Glass Vilandi	10
1.5mm Round Glass Vilandi	0
2mm Round Glass Vilandi	500
2.5mm Round Glass Vilandi	1000
3mm Round Glass Vilandi	1000
3.75mm Round Glass Vilandi	11
4mm Round Glass Vilandi	321
4.5mm Round Glass Vilandi	5
5mm Round Glass Vilandi	107
6mm Round Glass Vilandi	90
7mm Round Glass Vilandi	9
8mm Round Glass Vilandi	9
9mm Round Glass Vilandi	9
3mm Square Glass Vilandi	494
3.5mm Square Glass Vilandi	0
4mm Square Glass Vilandi	5
4.5mm Square Glass Vilandi	7
5.5mm Square Glass Vilandi	10
6mm Square Glass Vilandi	8
7mm Square Glass Vilandi	10
8mm Square Glass Vilandi	10
2.5*5mm Square Chauki Glass Vilandi	10
3*5mm Square Chauki Glass Vilandi	11
4*6mm Square Chauki Glass Vilandi	9
6*8mm Square Chauki Glass Vilandi	10
5*7mm Square Chauki Glass Vilandi	10
1.5*3mm MQ Glass Vilandi	10
2*4mm MQ Glass Vilandi	1000
2.5*5mm MQ Glass Vilandi	10
3*6mm MQ Glass Vilandi	432
3.5*7mm MQ Glass Vilandi	10
4*8mm MQ Glass Vilandi	10
5*7mm MQ Glass Vilandi	60
4*6mm Square Chauki Ruby	36
4mm Square Ruby	35
